BusinessEntityID,NationalIDNumber,LoginID,OrganizationNode,OrganizationLevel,JobTitle,BirthDate,MaritalStatus,Gender,HireDate,SalariedFlag,VacationHours,SickLeaveHours,CurrentFlag,rowguid,ModifiedDate
16,24756624,adventure-works\david0,0x68,1,Marketing Manager,3/19/1975,S,M,12/20/2007,1,40,40,1,E87029AA-2CBA-4C03-B948-D83AF0313E28,00:00.0
17,253022876,adventure-works\kevin0,0x6AC0,2,Marketing Assistant,5/3/1987,S,M,1/26/2007,0,42,41,1,1B480240-95C0-410F-A717-EB29943C8886,00:00.0
18,222969461,adventure-works\john5,0x6B40,2,Marketing Specialist,3/6/1978,S,M,2/7/2011,0,48,44,1,64730415-1F58-4E5B-8FA8-5E4DAEBA53B4,00:00.0
19,52541318,adventure-works\mary2,0x6BC0,2,Marketing Assistant,1/29/1978,S,F,2/14/2011,0,43,41,1,1F6DA901-C7F7-48A8-8EEF-D81868D72B52,00:00.0
20,323403273,adventure-works\wanida0,0x6C20,2,Marketing Assistant,3/17/1975,M,F,1/7/2011,0,41,40,1,43CCA446-DA1C-454C-8530-873AD2923E1B,00:00.0
21,243322160,adventure-works\terry0,0x6C60,2,Marketing Specialist,2/4/1986,M,M,3/2/2009,0,44,42,1,AD0D7626-4506-45C4-898F-9D7A0E13AABD,00:00.0
22,95958330,adventure-works\sariya0,0x6CA0,2,Marketing Specialist,5/21/1987,S,M,12/12/2008,0,45,42,1,AF21F1B7-0691-48AD-B325-B8F2D7B2268A,00:00.0
23,767955365,adventure-works\mary0,0x6CE0,2,Marketing Specialist,9/13/1962,M,F,1/12/2009,0,46,43,1,90899830-127E-4876-85CA-7F6E03025281,00:00.0
24,72636981,adventure-works\jill0,0x6D10,2,Marketing Specialist,6/18/1979,M,F,1/18/2009,0,47,43,1,53575C58-FBA1-4C1A-B8FF-95E050B44393,00:00.0
25,519899904,adventure-works\james1,0x78,1,Vice President of Production,1/7/1983,S,M,2/3/2009,1,64,52,1,D7314F24-2AF1-429C-9BBB-4038F45F3E6C,00:00.0
26,277173473,adventure-works\peter0,0x7AC0,2,Production Control Manager,11/3/1982,M,M,12/1/2008,1,43,41,1,69D5D162-E817-45E7-9DEC-5D9B8310E7B1,17:08.6
27,446466105,adventure-works\jo0,0x7AD6,3,Production Supervisor - WC60,10/8/1956,S,F,2/27/2008,0,80,60,1,83FFAAC6-B895-481F-B897-14F965D4DA47,00:00.0
28,14417807,adventure-works\guy1,0x7AD6B0,4,Production Technician - WC60,3/13/1988,M,M,6/30/2006,0,21,30,1,AAE1D04A-C237-4974-B4D5-935247737718,00:00.0
29,948320468,adventure-works\mark1,0x7AD6D0,4,Production Technician - WC60,9/25/1979,S,M,1/23/2009,0,19,29,1,CDB2C6DF-93E5-4558-91C8-424D5E7C658B,00:00.0
30,410742000,adventure-works\britta0,0x7AD6F0,4,Production Technician - WC60,9/28/1989,M,F,1/29/2009,0,14,27,1,FC12677F-42F8-4790-AD69-685088ED7E5F,00:00.0
31,750246141,adventure-works\margie0,0x7AD708,4,Production Technician - WC60,5/20/1986,M,F,1/4/2009,0,18,29,1,352D6E2F-655B-49A2-9FEC-EFD7D8CD0D30,00:00.0
32,330211482,adventure-works\rebecca0,0x7AD718,4,Production Technician - WC60,7/10/1977,M,F,12/29/2008,0,23,31,1,BDADEB5C-A596-4DA1-88BA-842C7A0CC10F,00:00.0
33,801758002,adventure-works\annik0,0x7AD728,4,Production Technician - WC60,12/26/1976,M,M,12/17/2008,0,17,28,1,51FDE6AC-BD50-467C-90E5-10CA7310455C,00:00.0
34,754372876,adventure-works\suchitra0,0x7AD738,4,Production Technician - WC60,6/10/1987,M,F,2/16/2009,0,15,27,1,6ADBD932-0DA5-4F5C-AF67-8E3A53630896,00:00.0
35,999440576,adventure-works\brandon0,0x7AD744,4,Production Technician - WC60,1/10/1977,M,M,2/8/2009,0,22,31,1,CA5D1935-44E2-4C45-93BB-809E59F56796,00:00.0
36,788456780,adventure-works\jose0,0x7AD74C,4,Production Technician - WC60,7/31/1984,M,M,2/10/2009,0,20,30,1,9E912556-88BA-41EE-B946-CB84AB4C1102,00:00.0
37,442121106,adventure-works\chris2,0x7AD754,4,Production Technician - WC60,8/7/1986,S,M,3/7/2009,0,16,28,1,77B384C7-AFFB-4816-992B-F5B3034EE4FF,00:00.0
38,6298838,adventure-works\kim1,0x7AD75C,4,Production Technician - WC60,12/14/1966,M,F,1/16/2010,0,24,32,1,891C27F4-28CC-44BB-BEA3-DA5EA7FBE957,00:00.0
39,461786517,adventure-works\ed0,0x7AD764,4,Production Technician - WC60,9/11/1971,S,M,2/5/2010,0,25,32,1,8EF22FB3-AF37-4B44-8862-D60A7CB09D82,00:00.0
40,309738752,adventure-works\jolynn0,0x7ADA,3,Production Supervisor - WC60,1/16/1956,S,F,12/26/2007,0,82,61,1,2CC71B96-F421-485E-9832-8723337749BB,00:00.0
41,458159238,adventure-works\bryan0,0x7ADAB0,4,Production Technician - WC60,8/27/1973,S,M,1/21/2009,0,35,37,1,4652D4E4-6A27-47ED-9F51-C377E293DA28,00:00.0
42,339712426,adventure-works\james0,0x7ADAD0,4,Production Technician - WC60,7/25/1984,M,M,12/27/2008,0,39,39,1,82E52D5A-165B-4C6D-9773-C3A6B6332ECD,00:00.0
43,693325305,adventure-works\nancy0,0x7ADAF0,4,Production Technician - WC60,11/19/1988,M,F,1/2/2009,0,34,37,1,6B7EB306-9A00-496A-98A9-4E94FE72F77C,00:00.0
44,276751903,adventure-works\simon0,0x7ADB08,4,Production Technician - WC60,5/17/1990,S,M,12/8/2008,0,38,39,1,F734D38A-56B5-471E-8DED-A682E958A9B3,00:00.0
45,500412746,adventure-works\thomas0,0x7ADB18,4,Production Technician - WC60,1/10/1986,M,M,2/26/2009,0,37,38,1,8FF3AF67-32F2-4A08-98C3-A40F842D41A3,00:00.0
46,66073987,adventure-works\eugene1,0x7ADB28,4,Production Technician - WC60,2/10/1976,S,M,2/8/2009,0,36,38,1,33543B35-77DA-4600-A41B-1EAFEA0AD643,00:00.0
47,33237992,adventure-works\andrew0,0x7ADE,3,Production Supervisor - WC10,9/6/1988,S,M,2/22/2009,0,65,52,1,08365B05-C143-4260-A93C-6B69418B1946,00:00.0
48,690627818,adventure-works\ruth0,0x7ADEB0,4,Production Technician - WC10,6/4/1956,M,F,1/6/2008,0,83,61,1,3E3B6905-209E-442E-B8A8-9A0980241C6A,00:00.0
49,912265825,adventure-works\barry0,0x7ADED0,4,Production Technician - WC10,3/26/1956,S,M,1/7/2008,0,88,64,1,756A60AE-378F-43D8-9F93-1E821D1EAF52,00:00.0
50,844973625,adventure-works\sidney0,0x7ADEF0,4,Production Technician - WC10,8/30/1956,M,M,2/2/2008,0,84,62,1,40D603D9-7F99-48B7-A580-B17CF429BED2,00:00.0
51,132674823,adventure-works\jeffrey0,0x7ADF08,4,Production Technician - WC10,7/11/1956,S,M,2/20/2008,0,85,62,1,6E086F41-B81D-4BDC-9F13-0EEC488DC43E,00:00.0
52,565090917,adventure-works\doris0,0x7ADF18,4,Production Technician - WC10,4/4/1956,M,F,3/10/2008,0,86,63,1,692B8826-03B4-4C3B-82FC-1FC6F1409689,00:00.0
53,9659517,adventure-works\diane0,0x7ADF28,4,Production Technician - WC10,3/29/1956,M,F,3/28/2008,0,87,63,1,C334B2D2-0C56-4906-9095-F1D07A98CBEC,00:00.0
54,109272464,adventure-works\bonnie0,0x7ADF38,4,Production Technician - WC10,9/10/1986,M,F,1/1/2010,0,89,64,1,E950A52A-DF61-4FEC-9063-545664D65B89,00:00.0
55,233069302,adventure-works\taylor0,0x7AE1,3,Production Supervisor - WC50,4/1/1956,M,M,2/8/2008,0,79,59,1,28F7EF89-2793-4989-B67D-25046543C1E3,00:00.0
56,652535724,adventure-works\denise0,0x7AE158,4,Production Technician - WC50,7/6/1988,M,F,2/5/2009,0,9,24,1,77878C43-F16E-437D-892F-3CFCC0715A0A,00:00.0
57,10708100,adventure-works\frank1,0x7AE168,4,Production Technician - WC50,7/24/1971,S,M,2/23/2009,0,10,25,1,B395CD84-77BA-4D3C-A49D-D9E8D6CF100B,00:00.0
58,571658797,adventure-works\kendall0,0x7AE178,4,Production Technician - WC50,5/30/1986,M,M,12/5/2008,0,11,25,1,65207627-5521-4A8E-AD3C-B2F1B5226B85,00:00.0
59,843479922,adventure-works\bob0,0x7AE184,4,Production Technician - WC50,8/16/1979,S,M,12/24/2008,0,12,26,1,68616AEA-81E5-4940-A7E4-6FBA882BCCF6,00:00.0
60,827686041,adventure-works\pete0,0x7AE18C,4,Production Technician - WC50,2/3/1977,S,M,1/11/2009,0,13,26,1,1F1D813D-3EDC-4274-8E9B-4519D71685B6,00:00.0
61,92096924,adventure-works\diane2,0x7AE194,4,Production Technician - WC50,8/9/1989,S,F,1/18/2009,0,8,24,1,721A2921-C415-46DE-9111-13F25F428B8B,00:00.0
62,494170342,adventure-works\john0,0x7AE3,3,Production Supervisor - WC60,8/7/1956,M,M,3/17/2008,0,81,60,1,D4ED1F78-7C28-479B-BFEF-A73228BA2AAA,00:00.0
63,414476027,adventure-works\maciej0,0x7AE358,4,Production Technician - WC60,1/30/1955,S,M,1/29/2010,0,30,35,1,3229D93F-6A14-4BAC-ABC5-A91B9ECFB4D3,00:00.0
64,582347317,adventure-works\michael7,0x7AE368,4,Production Technician - WC60,9/5/1973,S,M,2/23/2010,0,26,33,1,492B24BD-BDE9-4371-B96E-CCD72264B91F,00:00.0
65,8066363,adventure-works\randy0,0x7AE378,4,Production Technician - WC60,4/28/1970,M,M,2/23/2010,0,29,34,1,9A08108D-E039-4862-8F93-55F18017AD72,00:00.0
66,834186596,adventure-works\karan0,0x7AE384,4,Production Technician - WC60,3/7/1970,S,M,12/22/2009,0,28,34,1,08B1BA74-DD80-4FDA-8327-93268B84977B,00:00.0
67,63179277,adventure-works\jay0,0x7AE38C,4,Production Technician - WC60,2/11/1976,S,M,3/5/2009,0,32,36,1,18187809-5294-474F-85A1-D5BE6BD518D6,00:00.0
68,537092325,adventure-works\charles0,0x7AE394,4,Production Technician - WC60,9/2/1971,S,M,12/3/2009,0,27,33,1,CDC11292-DF74-4FB0-8676-5B2AA4687142,00:00.0
69,752513276,adventure-works\steve0,0x7AE39C,4,Production Technician - WC60,4/6/1991,S,M,2/15/2009,0,31,35,1,12F678D7-EAD3-4CF4-8518-A19AACF2A6D4,00:00.0
70,36151748,adventure-works\david2,0x7AE3A2,4,Production Technician - WC60,12/29/1984,M,M,12/15/2008,0,33,36,1,FC617BB8-D2A3-4374-873C-8EF38D80127D,00:00.0
71,578935259,adventure-works\michael3,0x7AE5,3,Production Supervisor - WC30,1/29/1989,S,M,2/15/2009,0,70,55,1,1AD772D7-7B4A-4A7B-8676-49DD7608CB94,00:00.0
72,443968955,adventure-works\steven0,0x7AE558,4,Production Technician - WC30,5/14/1977,M,M,12/1/2008,0,41,40,1,0A8937C9-68AA-4D48-BA4E-B40493D764AA,00:00.0
73,138280935,adventure-works\carole0,0x7AE568,4,Production Technician - WC30,10/19/1983,M,F,12/19/2008,0,42,41,1,C76A41F1-A390-4AE4-A82A-2A87764C6391,00:00.0
74,420023788,adventure-works\bjorn0,0x7AE578,4,Production Technician - WC30,11/6/1989,S,M,1/7/2009,0,43,41,1,A942E1E0-2D5E-4858-97C0-947020E96860,00:00.0
75,363996959,adventure-works\michiko0,0x7AE584,4,Production Technician - WC30,6/27/1982,S,M,1/26/2009,0,44,42,1,F359F5B6-5E18-4C62-8531-14D951911CE5,00:00.0
76,227319668,adventure-works\carol0,0x7AE58C,4,Production Technician - WC30,10/17/1988,M,F,2/12/2009,0,45,42,1,8D0182A3-5B59-4EEA-9B3C-C7F05DA9A2CE,00:00.0
77,301435199,adventure-works\merav0,0x7AE594,4,Production Technician - WC30,5/13/1983,M,F,3/3/2009,0,46,43,1,2EE7914A-62D3-473B-A0E1-E4E55341EC4E,00:00.0
78,370989364,adventure-works\reuben0,0x7AE7,3,Production Supervisor - WC40,8/27/1987,M,M,12/15/2008,0,72,56,1,71EEE2A6-B9B3-4BF4-8949-01239DF7C901,00:00.0
79,697712387,adventure-works\eric1,0x7AE758,4,Production Technician - WC40,12/8/1966,M,M,1/24/2010,0,60,50,1,55F62E38-9457-46C8-A824-E46A3117A935,00:00.0
80,943170460,adventure-works\sandeep0,0x7AE768,4,Production Technician - WC40,12/3/1970,S,M,1/17/2010,0,65,52,1,606C21E2-3EC0-48A6-A9FE-6BC8123AC786,00:00.0
81,413787783,adventure-works\mihail0,0x7AE778,4,Production Technician - WC40,3/9/1971,S,M,12/29/2009,0,64,52,1,03A9BA14-0D5B-4671-B851-2C1721EFBF01,00:00.0
82,58791499,adventure-works\jack1,0x7AE784,4,Production Technician - WC40,8/29/1973,S,M,3/3/2010,0,62,51,1,D308D387-F7F3-4B5F-ABDA-FAF5574245CD,00:00.0
83,988315686,adventure-works\patrick1,0x7AE78C,4,Production Technician - WC40,12/23/1973,M,M,2/12/2010,0,61,50,1,296C52AE-169F-4292-975D-C508476DCECF,00:00.0
84,947029962,adventure-works\frank3,0x7AE794,4,Production Technician - WC40,3/2/1952,M,M,2/5/2010,0,66,53,1,9AF24ACC-EA3E-4EFE-B5E3-4762C496D57C,00:00.0
85,1662732,adventure-works\brian2,0x7AE79C,4,Production Technician - WC40,12/23/1970,S,M,12/11/2009,0,63,51,1,C294F676-CAAF-4924-9730-BC81AE408BE1,00:00.0
86,769680433,adventure-works\ryan0,0x7AE7A2,4,Production Technician - WC40,6/13/1972,M,M,1/5/2009,0,59,49,1,10E5BD6F-2B9C-4192-A94D-6A2D50EA1ADB,00:00.0
87,7201901,adventure-works\cristian0,0x7AE880,3,Production Supervisor - WC10,4/11/1984,M,M,12/22/2008,0,67,53,1,5BE16416-8570-417D-9E54-047DB468B5E9,00:00.0
88,294148271,adventure-works\betsy0,0x7AE8AC,4,Production Technician - WC10,12/17/1966,S,F,12/18/2009,0,99,69,1,EBCDBA1C-6C1D-4D36-90F7-1893755C85E3,00:00.0
89,90888098,adventure-works\patrick0,0x7AE8B4,4,Production Technician - WC10,9/10/1986,S,M,2/1/2010,0,96,68,1,D5FBE9E6-B8C5-484C-B4B8-48059E0EF267,00:00.0
90,82638150,adventure-works\danielle0,0x7AE8BC,4,Production Technician - WC10,9/7/1986,S,F,2/20/2010,0,97,68,1,BB886159-1400-4264-B7C9-A3769BEB1274,00:00.0
91,390124815,adventure-works\kimberly0,0x7AE8C2,4,Production Technician - WC10,9/13/1986,S,F,1/12/2010,0,95,67,1,CE256B6C-1EEE-43ED-9969-7CAC480FF4D7,00:00.0
92,826454897,adventure-works\tom0,0x7AE8C6,4,Production Technician - WC10,10/1/1986,M,M,3/10/2010,0,98,69,1,B3BF7FC5-2014-48CE-B7BB-76124FA8446C,00:00.0
93,778552911,adventure-works\kok-ho0,0x7AE980,3,Production Supervisor - WC50,4/28/1980,S,M,12/27/2008,0,78,59,1,57FB2C0F-B105-49F0-967A-88F3D743CB3F,00:00.0
94,718299860,adventure-works\russell0,0x7AE9AC,4,Production Technician - WC50,11/25/1972,M,M,12/12/2008,0,6,23,1,6B10192F-D570-47C4-82C9-3D979B1EFDC1,00:00.0
95,674171828,adventure-works\jim0,0x7AE9B4,4,Production Technician - WC50,9/8/1986,M,M,12/19/2008,0,1,20,1,6175876E-8FCC-4917-BE06-FC358515E6DF,00:00.0
96,912141525,adventure-works\elizabeth0,0x7AE9BC,4,Production Technician - WC50,1/25/1990,M,F,3/2/2009,0,5,22,1,62A9F73F-6443-4F2F-B864-18186614BFB6,00:00.0
97,370581729,adventure-works\mandar0,0x7AE9C2,4,Production Technician - WC50,3/21/1986,S,M,2/10/2009,0,0,20,1,1F0E068A-48C5-40BF-8190-565150EFDADD,00:00.0
98,152085091,adventure-works\sameer0,0x7AE9C6,4,Production Technician - WC50,6/26/1978,M,M,2/11/2009,0,4,22,1,A703169F-1563-488E-914D-D784FD07F29A,00:00.0
99,431859843,adventure-works\nuan0,0x7AE9CA,4,Production Technician - WC50,3/29/1979,S,M,1/6/2009,0,2,21,1,A6089357-2F2F-48CC-AB3C-D9B75A3C09D7,00:00.0
100,204035155,adventure-works\lolan0,0x7AE9CE,4,Production Technician - WC50,1/24/1973,M,M,1/12/2009,0,7,23,1,9B9B768D-7CC1-4DCE-87CB-765AB73A6AFF,00:00.0
